Tenor,Personal Customer,,,Origanizational Customer
,VND,USD,EUR,VND,USD,EUR
Full period,0.10,0.00,0.00,0.20,0.00,0.00
<1 month,0.50,0.00,-,0.30,0.00,-
1 month ,4.50,0.00,0.10,4.30,0.00,0.10
2 months ,4.50,0.00,0.10,4.30,0.00,0.10
3 months ,5.00,0.00,0.10,4.80,0.00,0.10
4 months ,5.00,0.00,0.10,4.80,0.00,0.10
5 months ,5.00,0.00,0.10,4.80,0.00,0.10
6 months ,5.50,0.00,0.10,5.30,0.00,0.10
7 months ,5.50,0.00,0.10,5.30,0.00,0.10
8 months ,5.50,0.00,0.10,5.30,0.00,0.10
9 months,5.50,0.00,0.10,5.50,0.00,0.10
10 months,5.50,0.00,0.10,5.50,0.00,0.10
11 months,5.50,0.00,0.10,5.50,0.00,0.10
12 months,6.80,0.00,0.20,6.40,0.00,0.20
13 months,6.60,0.00,0.20,6.40,0.00,0.20
15 months,6.70,0.00,0.20,6.50,0.00,0.20
18 months,6.80,0.00,0.20,6.50,0.00,0.20
24 months,6.90,0.00,0.20,6.50,0.00,0.20
36 months,7.00,0.00,0.20,7.00,0.00,0.20
